iter	Passed	Remaining
0	20	16059
1	38	15170
2	56	15054
3	74	14794
4	92	14701
5	110	14623
6	129	14692
7	147	14588
8	166	14627
9	185	14656
10	204	14639
11	222	14636
12	241	14592
13	259	14560
14	278	14597
15	297	14589
16	316	14597
17	336	14622
18	355	14608
19	374	14620
20	394	14624
21	412	14591
22	430	14554
23	450	14558
24	469	14544
25	488	14528
26	508	14544
27	527	14545
28	547	14557
29	566	14551
30	586	14553
31	605	14543
32	625	14543
33	644	14520
34	663	14510
35	682	14488
36	702	14487
37	722	14481
38	741	14470
39	760	14446
40	778	14418
41	798	14416
42	817	14389
43	835	14362
44	855	14358
45	875	14351
46	895	14353
47	915	14342
48	935	14337
49	955	14336
50	976	14338
51	996	14331
52	1016	14333
53	1038	14345
54	1058	14340
55	1080	14357
56	1101	14355
57	1120	14340
58	1140	14328
59	1161	14324
60	1181	14310
61	1200	14295
62	1221	14288
63	1241	14281
64	1262	14276
65	1284	14280
66	1305	14281
67	1324	14260
68	1344	14246
69	1365	14238
70	1385	14227
71	1406	14224
72	1427	14214
73	1447	14205
74	1467	14190
75	1488	14180
76	1508	14164
77	1528	14148
78	1548	14131
79	1568	14120
80	1589	14105
81	1609	14096
82	1630	14088
83	1651	14073
84	1671	14057
85	1690	14035
86	1712	14032
87	1733	14027
88	1753	14011
89	1774	13999
90	1795	13988
91	1814	13966
92	1835	13950
93	1853	13924
94	1872	13898
95	1891	13868
96	1910	13848
97	1929	13818
98	1948	13797
99	1967	13771
100	1986	13749
101	2006	13730
102	2025	13705
103	2045	13687
104	2064	13663
105	2083	13639
106	2101	13610
107	2120	13587
108	2140	13567
109	2159	13544
110	2178	13522
111	2197	13496
112	2215	13471
113	2235	13449
114	2253	13423
115	2272	13397
116	2290	13370
117	2309	13349
118	2328	13323
119	2347	13299
120	2365	13276
121	2384	13249
122	2403	13231
123	2423	13210
124	2443	13197
125	2463	13179
126	2483	13161
127	2502	13140
128	2523	13124
129	2543	13109
130	2563	13089
131	2583	13074
132	2603	13057
133	2623	13039
134	2642	13019
135	2663	13003
136	2683	12987
137	2703	12968
138	2723	12952
139	2742	12931
140	2762	12912
141	2782	12892
142	2801	12873
143	2821	12851
144	2840	12830
145	2859	12806
146	2878	12785
147	2897	12765
148	2916	12742
149	2935	12720
150	2953	12695
151	2972	12672
152	2992	12652
153	3010	12630
154	3030	12609
155	3048	12584
156	3066	12560
157	3085	12539
158	3105	12517
159	3124	12497
160	3143	12475
161	3162	12455
162	3181	12434
163	3200	12412
164	3219	12390
165	3238	12368
166	3257	12348
167	3277	12327
168	3295	12304
169	3314	12284
170	3333	12261
171	3352	12239
172	3370	12216
173	3389	12193
174	3407	12168
175	3425	12146
176	3444	12124
177	3463	12102
178	3483	12084
179	3501	12060
180	3519	12035
181	3538	12016
182	3557	11993
183	3576	11972
184	3594	11949
185	3614	11931
186	3633	11910
187	3652	11888
188	3672	11871
189	3691	11850
190	3709	11828
191	3728	11805
192	3747	11784
193	3765	11763
194	3784	11741
195	3803	11720
196	3822	11698
197	3840	11678
198	3860	11659
199	3879	11637
200	3898	11617
201	3917	11595
202	3935	11573
203	3953	11551
204	3973	11532
205	3993	11514
206	4011	11490
207	4029	11468
208	4048	11448
209	4067	11426
210	4086	11405
211	4105	11386
212	4124	11366
213	4143	11346
214	4162	11326
215	4181	11304
216	4199	11283
217	4218	11262
218	4236	11240
219	4256	11220
220	4275	11200
221	4294	11181
222	4313	11161
223	4333	11142
224	4352	11122
225	4371	11102
226	4389	11080
227	4408	11059
228	4427	11038
229	4445	11016
230	4463	10995
231	4483	10976
232	4501	10955
233	4520	10933
234	4538	10912
235	4558	10893
236	4576	10871
237	4595	10851
238	4614	10831
239	4633	10811
240	4652	10790
241	4670	10769
242	4689	10748
243	4708	10729
244	4727	10708
245	4746	10688
246	4764	10667
247	4783	10647
248	4803	10628
249	4822	10608
250	4840	10586
251	4858	10564
252	4877	10545
253	4895	10523
254	4914	10503
255	4932	10482
256	4951	10462
257	4970	10441
258	4988	10420
259	5007	10400
260	5045	10418
261	5075	10422
262	5094	10402
263	5111	10378
264	5129	10356
265	5148	10335
266	5166	10312
267	5183	10290
268	5202	10268
269	5219	10245
270	5236	10221
271	5254	10199
272	5271	10175
273	5289	10153
274	5307	10132
275	5325	10110
276	5343	10089
277	5361	10067
278	5380	10047
279	5398	10025
280	5415	10002
281	5434	9981
282	5452	9960
283	5470	9940
284	5490	9920
285	5508	9899
286	5527	9880
287	5546	9860
288	5564	9839
289	5583	9818
290	5602	9798
291	5620	9778
292	5638	9757
293	5657	9736
294	5677	9718
295	5695	9698
296	5714	9678
297	5733	9659
298	5752	9639
299	5770	9617
300	5788	9596
301	5807	9576
302	5826	9557
303	5845	9537
304	5864	9517
305	5883	9497
306	5901	9476
307	5920	9456
308	5939	9437
309	5958	9418
310	5978	9400
311	5997	9380
312	6016	9360
313	6035	9341
314	6053	9320
315	6072	9300
316	6090	9280
317	6109	9260
318	6127	9239
319	6146	9220
320	6164	9199
321	6183	9179
322	6202	9159
323	6221	9140
324	6239	9119
325	6258	9099
326	6276	9079
327	6294	9058
328	6314	9039
329	6334	9021
330	6353	9002
331	6372	8982
332	6391	8963
333	6409	8942
334	6428	8923
335	6447	8904
336	6467	8885
337	6485	8865
338	6505	8846
339	6524	8826
340	6543	8807
341	6562	8788
342	6581	8768
343	6599	8747
344	6618	8728
345	6637	8709
346	6656	8690
347	6675	8671
348	6694	8651
349	6713	8631
350	6731	8610
351	6750	8591
352	6769	8571
353	6787	8552
354	6805	8531
355	6824	8510
356	6843	8492
357	6862	8472
358	6881	8453
359	6900	8433
360	6919	8413
361	6937	8394
362	6956	8375
363	6976	8356
364	6995	8336
365	7013	8316
366	7032	8296
367	7050	8276
368	7069	8256
369	7088	8237
370	7106	8217
371	7125	8198
372	7145	8179
373	7164	8161
374	7184	8142
375	7203	8123
376	7223	8104
377	7242	8085
378	7260	8065
379	7279	8046
380	7298	8026
381	7317	8007
382	7336	7987
383	7356	7969
384	7375	7949
385	7393	7929
386	7412	7909
387	7430	7890
388	7448	7870
389	7468	7851
390	7486	7831
391	7505	7811
392	7523	7791
393	7542	7771
394	7561	7752
395	7580	7733
396	7599	7714
397	7618	7695
398	7637	7675
399	7656	7656
400	7674	7636
401	7693	7616
402	7711	7596
403	7729	7576
404	7747	7556
405	7765	7535
406	7783	7516
407	7802	7496
408	7820	7475
409	7838	7456
410	7858	7437
411	7876	7417
412	7895	7398
413	7914	7378
414	7933	7360
415	7953	7341
416	7972	7322
417	7991	7303
418	8010	7284
419	8028	7264
420	8048	7245
421	8067	7226
422	8085	7206
423	8104	7186
424	8122	7167
425	8141	7147
426	8160	7128
427	8178	7108
428	8197	7089
429	8216	7069
430	8234	7049
431	8252	7030
432	8271	7010
433	8290	6991
434	8309	6972
435	8328	6953
436	8347	6933
437	8365	6913
438	8384	6894
439	8403	6875
440	8423	6856
441	8442	6837
442	8460	6817
443	8479	6798
444	8498	6780
445	8517	6760
446	8536	6741
447	8555	6721
448	8574	6702
449	8592	6682
450	8610	6663
451	8630	6644
452	8648	6624
453	8667	6605
454	8686	6586
455	8704	6566
456	8722	6546
457	8741	6527
458	8761	6508
459	8779	6489
460	8798	6470
461	8817	6451
462	8837	6432
463	8855	6412
464	8874	6393
465	8892	6373
466	8910	6353
467	8928	6334
468	8947	6314
469	8966	6295
470	8985	6276
471	9004	6257
472	9022	6237
473	9041	6218
474	9060	6198
475	9079	6179
476	9098	6161
477	9116	6141
478	9134	6121
479	9153	6102
480	9172	6083
481	9191	6064
482	9209	6044
483	9227	6024
484	9247	6005
485	9266	5986
486	9284	5967
487	9303	5948
488	9322	5928
489	9340	5909
490	9358	5889
491	9377	5870
492	9396	5851
493	9415	5832
494	9433	5812
495	9453	5793
496	9472	5774
497	9490	5755
498	9509	5736
499	9528	5717
500	9547	5697
501	9566	5678
502	9583	5658
503	9602	5639
504	9622	5620
505	9640	5601
506	9658	5581
507	9677	5562
508	9696	5543
509	9714	5524
510	9734	5505
511	9752	5485
512	9770	5466
513	9789	5446
514	9807	5427
515	9826	5408
516	9846	5389
517	9864	5370
518	9883	5351
519	9902	5332
520	9921	5312
521	9939	5293
522	9957	5274
523	9976	5254
524	9995	5235
525	10014	5216
526	10033	5197
527	10052	5178
528	10071	5159
529	10090	5140
530	10110	5121
531	10129	5102
532	10148	5083
533	10166	5064
534	10185	5044
535	10204	5025
536	10222	5006
537	10240	4986
538	10259	4967
539	10277	4948
540	10297	4929
541	10316	4910
542	10334	4891
543	10353	4872
544	10372	4853
545	10391	4834
546	10410	4815
547	10429	4796
548	10448	4776
549	10467	4757
550	10486	4738
551	10505	4720
552	10524	4700
553	10543	4681
554	10562	4662
555	10582	4644
556	10601	4625
557	10620	4605
558	10638	4586
559	10658	4567
560	10675	4548
561	10695	4529
562	10713	4510
563	10732	4491
564	10750	4471
565	10769	4452
566	10787	4432
567	10807	4414
568	10825	4395
569	10844	4375
570	10862	4356
571	10881	4337
572	10899	4318
573	10918	4298
574	10937	4279
575	10956	4260
576	10975	4241
577	10993	4222
578	11012	4203
579	11031	4184
580	11051	4165
581	11070	4146
582	11089	4127
583	11108	4108
584	11127	4089
585	11145	4070
586	11165	4051
587	11183	4032
588	11202	4012
589	11220	3993
590	11239	3974
591	11258	3955
592	11277	3936
593	11296	3917
594	11315	3898
595	11334	3879
596	11353	3860
597	11371	3841
598	11390	3822
599	11410	3803
600	11429	3784
601	11448	3765
602	11467	3746
603	11485	3727
604	11504	3708
605	11523	3688
606	11542	3669
607	11560	3650
608	11578	3631
609	11597	3612
610	11615	3593
611	11635	3574
612	11655	3555
